Opel Corsa 1.2 S&S GS,87 500 zl,5 km,1 199 cm3 • 100 KM • GS Automat Martwe Pole Opel Puławska,https://www.otomoto.pl/osobowe/oferta/opel-corsa-gs-automat-martwe-pole-opel-pulawska-ID6G3KYi.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml1cThyOTljZzI2NDItT1RPTU9UT1BMIn0.3bbIXYZp2APkTdiM7ZE5I7fBspAeyNVm4juq3stqp4E/image;s=320x240
Opel Corsa,79 999 zl,5 km,1 199 cm3 • 100 KM • Nowy Model Od Ręki 100KM Opel Ursynów,https://www.otomoto.pl/osobowe/oferta/opel-corsa-nowy-model-od-reki-100km-opel-ursynow-ID6FRM5U.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRnc3BkM2d1YjUxdTMtT1RPTU9UT1BMIn0.OkWtlPG7HRFBFwfz-F7uxUiGmnPReKBL7cCzaOaylLE/image;s=320x240
Opel Corsa 1.2 S&S,79 990 zl,3 km,1 199 cm3 • 100 KM • Corsa 1.2 Turbo 100KM MT6 S/S,https://www.otomoto.pl/osobowe/oferta/opel-corsa-corsa-1-2-turbo-100km-mt6-s-s-ID6G1CWE.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijdpczc0ZDZwYmN2ai1PVE9NT1RPUEwifQ.FFPK4-uRIb2hchLx_mdvduDCW15i9E8z6AlgyWAEqEo/image;s=320x240
Opel Corsa 1.2 GS S&S,79 900 zl,15 km,1 199 cm3 • 100 KM • Wyprzedaż * Od Dealera* Salon Polska * FV,https://www.otomoto.pl/osobowe/oferta/opel-corsa-wyprzedaz-od-dealera-salon-polska-fv-ID6FMmqL.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNpdnJiajQzYTR2dTMtT1RPTU9UT1BMIn0.4hbsseRpp7yVappBy18MMIDBo-iAdRGng2gfZ_hnYdA/image;s=320x240
Opel Corsa 1.2 Elegance S&S,78 900 zl,1 200 km,1 199 cm3 • 100 KM • !! Rata od 950zł !! Wyprzedaż * Od Dealera* Salon Polska * FV,https://www.otomoto.pl/osobowe/oferta/opel-corsa-rata-od-950zl-wyprzedaz-od-dealera-salon-polska-fv-ID6FMmAX.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imw1NGtubTdjOGFrajMtT1RPTU9UT1BMIn0.ejZ1f7yqRbi6lg7kiaOJW6wcHwtU9MEnX7YyD1hg3O0/image;s=320x240
OPEL Corsa 1.2 Edition S&S,49 900 zl,78 560 km,1199 cm3,"https://otomotoklik.pl/oferta/VXKUPHMHDL4219921?product=lease&contractPeriod=72&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=opel-corsa-1.2-edition-s&s,opel,,,,,,,,,,,,,,,,&utm_campaign_id=1-16",https://cdn.otomotoklik.pl/static/VXKUPHMHDL4219921/vc/exterior-closed_nr_001_small.jpg
Opel Corsa 1.2 S&S,78 900 zl,2 km,1 199 cm3 • 100 KM • ~~NOWA CORSA~~ 1.2 Turbo 100KM MT6 S/S,https://www.otomoto.pl/osobowe/oferta/opel-corsa-nowa-corsa-1-2-turbo-100km-mt6-s-s-ID6FTOEi.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1zZGhnM3dtdjBsei1PVE9NT1RPUEwifQ.rFWL-UQqi6DjVS9_GV-3J83t21pWg8oWtl8xEwjv7iE/image;s=320x240
Opel Corsa 1.2 S&S,76 990 zl,1 km,1 199 cm3 • 100 KM • 1.2 Turbo 100KM MT6,https://www.otomoto.pl/osobowe/oferta/opel-corsa-1-2-turbo-100km-mt6-ID6FZPF4.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJlbjY5OGw1M3l1bTMtT1RPTU9UT1BMIn0.kE4TkilvO7FeL92B32VL67RtlLqgJSnsPxlWm986TXs/image;s=320x240
Opel Corsa 1.2 GS S&S,76 900 zl, 600 km,1 199 cm3 • 100 KM • GS 1.2 Turbo 100KM! Od ręki!,https://www.otomoto.pl/osobowe/oferta/opel-corsa-gs-1-2-turbo-100km-od-reki-ID6FHCAr.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJ1bTd3d3F4YzRtMDItT1RPTU9UT1BMIn0.JiKmZ-embYzm8oGmuQiqj6UesCe1x3yGMybCLW5ZSB4/image;s=320x240
Opel Corsa 1.2 S&S,75 200 zl,2 km,1 199 cm3 • 75 KM • Corsa 1.2 75 KM od ręki!,https://www.otomoto.pl/osobowe/oferta/opel-corsa-corsa-1-2-75-km-od-reki-ID6G0EsX.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRheGl5aXRkZnAxdTMtT1RPTU9UT1BMIn0.9IrhSjUkQ-r2ga4h57IfWuY2vx1QVXQE1nWyr5YjAV4/image;s=320x240
Opel Corsa,73 500 zl,2 km,1 199 cm3 • 75 KM • Nowy Opel Corsa 1.2 75KM MT5,https://www.otomoto.pl/osobowe/oferta/opel-corsa-nowy-opel-corsa-1-2-75km-mt5-ID6FWZOF.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBubTh4YjMwYW94aC1PVE9NT1RPUEwifQ.9H94rFsRf6MxfspzwvSsfofD8ml5lcNOho_XCFWVJqQ/image;s=320x240
Opel Corsa 1.2 S&S,72 790 zl,Benzyna,1 199 cm3 • 75 KM • Corsa 1.2 75KM MT5 S/S,https://www.otomoto.pl/osobowe/oferta/opel-corsa-corsa-1-2-75km-mt5-s-s-ID6G0WL5.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNjc2lvd2F0Z2N2YjMtT1RPTU9UT1BMIn0.Psopw-vfgAtKJucD2QFEuIIUHrC9Ack3SzihKUKy58g/image;s=320x240
Opel Corsa 1.2 S&S,69 999 zl,1 km,1 199 cm3 • 75 KM • 1.2 75KM Czujniki cofania Klimatyzacja Bluetooth,https://www.otomoto.pl/osobowe/oferta/opel-corsa-1-2-75km-czujniki-cofania-klimatyzacja-bluetooth-ID6FxRYm.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVsZHphbjd4dGxyYzMtT1RPTU9UT1BMIn0.uDUX2waJAYYnABxohwVieefVKrD-OqAIETqux7bV0dM/image;s=320x240
Opel Corsa,69 900 zl,9 431 km,"1 199 cm3 • 75 KM • Edition, 2022r. Gwarancja do 08.2027!",https://www.otomoto.pl/osobowe/oferta/opel-corsa-edition-2022r-gwarancja-do-08-2027-ID6G2m7V.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im8zcG5pOWZqY2MyYjEtT1RPTU9UT1BMIn0.plH253LcDMhn055RzkjepGzSaO6IqG4XBlrBxHmpMBg/image;s=320x240
Opel Corsa 1.2 Elegance Business Pack S&S,69 800 zl,11 100 km,1 199 cm3 • 100 KM • Opel Corsa 1.2 Elegance automat 100kM,https://www.otomoto.pl/osobowe/oferta/opel-corsa-opel-corsa-1-2-elegance-automat-100km-ID6G1bAC.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InplbWQ4cmhqaDFlMjItT1RPTU9UT1BMIn0.PIgsUOJL03AjS2aUJp8vSVMYhF8BPj4UPohZk0PEB-M/image;s=320x240
Opel Corsa,67 900 zl,1 km,1 199 cm3 • 75 KM • 1.2 75KM Czujniki Bluetooth,https://www.otomoto.pl/osobowe/oferta/opel-corsa-1-2-75km-czujniki-bluetooth-ID6FLJJV.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhtNGI0b2x0NmVsdTMtT1RPTU9UT1BMIn0.S0NcVow9EIQejswKa4gpUyfIYzx2TfKX2B6yCx8Ia6o/image;s=320x240
Opel Corsa 1.2 S&S,66 000 zl,2 km,1 / 6,https://www.otomoto.pl/osobowe/oferta/opel-corsa-1-2-benzyna-75km-podgrzewana-kierownica-ID6FQkC2.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijg1ZG5kZHI2aDZwNDItT1RPTU9UT1BMIn0.r7uoY98bgc1ONANVl_CHF6_qBGLANd6qZWJRkNetMbA/image;s=644x461
Opel Corsa,65 900 zl,5 km,1 / 6,https://www.otomoto.pl/osobowe/oferta/opel-corsa-ID6FQGQv.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNvdnM0YzlmMGRpMTItT1RPTU9UT1BMIn0.Zf9WZ_8TYJg7Y7IpEcqIWDLad68rw4UCB7v0nUNhzos/image;s=644x461
Opel Corsa 1.2 Elegance Business Pack S&S,65 000 zl,10 000 km,1 199 cm3 • 100 KM • Corsa F EDYTIONE Full LED 101PS ! Jak Nowy ! 10 000 KM !,https://www.otomoto.pl/osobowe/oferta/opel-corsa-corsa-f-edytione-full-led-101ps-jak-nowy-10-000-km-ID6G2z4A.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImU1aWc4amI0cmozbTEtT1RPTU9UT1BMIn0.QP2yHzYPFpOLsCdGMFiEpnxOnxB-MhZfn63r7tYUSWU/image;s=320x240
Opel Mokka,64 900 zl,29 000 km,1 399 cm3 • 152 KM • BUICK ENCORE 4x4 1.4t automat bogata wersja niski przebieg,https://www.otomoto.pl/osobowe/oferta/opel-mokka-buick-encore-4x4-1-4t-automat-bogata-wersja-niski-przebieg-ID6FXJ0G.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImQzNnN1NGw1N2pnZzMtT1RPTU9UT1BMIn0.ygJuCAupeugTrsTqJqBf_kd5Cuygn8RDO9YIx0_tyxM/image;s=320x240
Opel Corsa 1.2 Start/Stop Edition,64 900 zl,5 000 km,1 199 cm3 • 75 KM • Nawigacja-Full Led-Kamera-Bezwypadek-Pełny serwis-Pachnie Nowością,https://www.otomoto.pl/osobowe/oferta/opel-corsa-nawigacja-full-led-kamera-bezwypadek-pelny-serwis-pachnie-nowoscia-ID6G3mwy.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImN6Y2g3OXYxZ2ZzbTMtT1RPTU9UT1BMIn0.aR7d6dM5ukIlgvb4197k5WI7x5VpEEOK-4J-Vo5lwYs/image;s=320x240
Opel Corsa 1.2 S&S,64 700 zl,5 km,1 199 cm3 • 75 KM • Wyprzedaż 2023 !! Kredyt 0% !!,https://www.otomoto.pl/osobowe/oferta/opel-corsa-wyprzedaz-2023-kredyt-0-ID6FVUvx.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjB6OTZoZnJ1emh1OTItT1RPTU9UT1BMIn0.2ZX1P_HNG6G67Fo2TWVfcV4MNf8Koq_AEgTHOnXf82E/image;s=320x240
Opel Crossland X 1.2 Enjoy,62 900 zl,44 879 km,1 199 cm3 • 81 KM • Pierwszy właściciel! Jak nowy! Android auto! LED! Tempomat!,https://www.otomoto.pl/osobowe/oferta/opel-crossland-x-pierwszy-wlasciciel-jak-nowy-android-auto-led-tempomat-ID6FPtnL.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdmaHlocnYxamxqMDEtT1RPTU9UT1BMIn0.RgT1AbmTtlPJNtkJ7PP4Aj5rRRHP9QVJ6YwX-azmfqg/image;s=320x240
Opel Corsa 1.2 GS Line Plus Pack S&S,61 900 zl,24 076 km,1 199 cm3 • 100 KM • GS Line 24tyś przebiegu 1.2 100KM 6biegów,https://www.otomoto.pl/osobowe/oferta/opel-corsa-gs-line-24tys-przebiegu-1-2-100km-6biegow-ID6G0aGm.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imozazh2OHFlajRmbzMtT1RPTU9UT1BMIn0.BW6yvg05TnrmKjyoiRgSLHiSWmn2-C0CfAYxYhy67DU/image;s=320x240
Opel Corsa 1.2 Direct Inj Turbo Start/Stop Automatik Elegance,59 999 zl,48 000 km,1 199 cm3 • 100 KM • Black&White Automat 8 biegów 5 Drzwi 20r.,https://www.otomoto.pl/osobowe/oferta/opel-corsa-black-white-automat-8-biegow-5-drzwi-20r-ID6G0fTS.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVueXZhMXRmaWY4cy1PVE9NT1RPUEwifQ.cMlJMLYTULDiNI2jJ6okTm93nnWGY-jFCSeclhBoqI0/image;s=320x240
OPEL Astra V 1.4 T Enjoy,53 800 zl,121 759 km,1399 cm3,"https://otomotoklik.pl/oferta/W0VBD8EB7K8034405?product=lease&contractPeriod=72&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=opel-astra-v-1.4-t-enjoy,opel,,,,,,,,,,,,,,,,&utm_campaign_id=1-undefined",https://cdn.otomotoklik.pl/static/W0VBD8EB7K8034405/vc/exterior-closed_nr_001_small.jpg
Opel Corsa 1.2 Edition S&S,59 900 zl,17 710 km,1 199 cm3 • 100 KM • Jak nowa NA GWARANCJI Alufelgi Android Auto Faktura VAT 23%,https://www.otomoto.pl/osobowe/oferta/opel-corsa-jak-nowa-na-gwarancji-alufelgi-android-auto-faktura-vat-23-ID6FTcYk.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRseGpmNzJtODJ6czItT1RPTU9UT1BMIn0.TsyjQwAobGD4qvijSYfaepwSwG8pW3iFMO_qc9xd18E/image;s=320x240
Opel Crossland X,59 900 zl,74 103 km,1 199 cm3 • 110 KM,https://www.otomoto.pl/osobowe/oferta/opel-crossland-x-ID6G2dhu.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imk1Z3N3NXl4NXo5aDEtT1RPTU9UT1BMIn0.TsY7RmAbHP0R4rvI0ufD2kpHyYsR4HFJ9kpeDwtPJuQ/image;s=320x240
Opel Crossland 1.2 T GS Line Plus Pack,59 800 zl,12 000 km,"1 199 cm3 • 110 KM • GS line-Auto Jeździ, od 1 właściciela, model 2023",https://www.otomoto.pl/osobowe/oferta/opel-crossland-gs-line-auto-jezdzi-od-1-wlasciciela-model-2023-ID6G18p6.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImYwdjY5djJ6aHlvdjMtT1RPTU9UT1BMIn0.NtFpMCWuHimLpdG9tSx9FnavJQAR4rwdUmqipNCX5Bo/image;s=320x240
OPEL Astra V 1.2 T Edition S&S,56 900 zl,118 905 km,1199 cm3,"https://otomotoklik.pl/oferta/W0VBD6ER0MG001644?product=lease&contractPeriod=72&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=opel-astra-v-1.2-t-edition-s&s,opel,,,,,,,,,,,,,,,,&utm_campaign_id=2-4",https://cdn.otomotoklik.pl/static/W0VBD6ER0MG001644/vc/exterior-closed_nr_001_small.jpg
Opel Corsa 1.2 Edition S&S,58 900 zl,38 000 km,1 199 cm3 • 100 KM • Stan bardzo dobry,https://www.otomoto.pl/osobowe/oferta/opel-corsa-stan-bardzo-dobry-ID6FNHbo.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImUyc2J4dDQ3djVlOS1PVE9NT1RPUEwifQ.z50K_NxGMyU8jAWaQofkRZGzHvDvAeMg-GaWiVov20M/image;s=320x240
Opel Corsa 1.2 Elegance Business Pack S&S,58 700 zl,7 000 km,1 199 cm3 • 75 KM • auto jak nowe z gwarancja*full led*navi*alu16*FAK VAT,https://www.otomoto.pl/osobowe/oferta/opel-corsa-auto-jak-nowe-z-gwarancjafull-lednavialu16fak-vat-ID6FHelq.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im8xdHRwN2szMTE2ZTEtT1RPTU9UT1BMIn0.TY6giOJt9vAxnbBefP4w4c-cTHGTCybwKkCwFEgry04/image;s=320x240
Opel Astra V 1.4 T Enjoy,58 500 zl,38 081 km,"1 399 cm3 • 125 KM • Pierwszy właściciel, zadbany, serwisowany",https://www.otomoto.pl/osobowe/oferta/opel-astra-pierwszy-wlasciciel-zadbany-serwisowany-ID6G3zz7.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBkNXV3a2Ezd2cwczEtT1RPTU9UT1BMIn0.XfMY69x8_R2zpvV1fp_ypFfLWxvgW-6taNuhB2-vOtk/image;s=320x240
Opel Adam 1.4 Turbo S,57 900 zl,44 840 km,1 364 cm3 • 150 KM • Turbo S! 1.4 benzyna 150 KM! Kubły RECARO! Tempomat! Czujniki!,https://www.otomoto.pl/osobowe/oferta/opel-adam-turbo-s-1-4-benzyna-150-km-kubly-recaro-tempomat-czujniki-ID6FPYib.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNxaXo3djZ4bHljeDEtT1RPTU9UT1BMIn0.yEB_ANWUu3K3uJLtGkymhAefyLAMhXnMaUJu4xZ9uU8/image;s=320x240
Opel Corsa 1.2 Direct Injection Turbo Start/Stop GS Line,57 900 zl,19 000 km,1 199 cm3 • 100 KM • 1.2turbo GS Line Full LED Okazja! Zamiana,https://www.otomoto.pl/osobowe/oferta/opel-corsa-1-2turbo-gs-line-full-led-okazja-zamiana-ID6FO0uh.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imo4MWV0YnVxcmRndi1PVE9NT1RPUEwifQ.7DjiC4irMsnyvg73TGesLLtKKIzUhJdr4oI8X08sDLY/image;s=320x240
OPEL Astra V 1.6 CDTI Elite S&S,57 900 zl,83 726 km,1598 cm3,"https://otomotoklik.pl/oferta/W0VBE8EF1K8017406?product=lease&contractPeriod=72&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=opel-astra-v-1.6-cdti-elite-s&s,opel,,,,,,,,,,,,,,,,&utm_campaign_id=2-10",https://cdn.otomotoklik.pl/static/W0VBE8EF1K8017406/vc/exterior-closed_nr_001_small.jpg
Opel Crossland 1.2 Business Edition,57 800 zl,9 000 km,"1 199 cm3 • 83 KM • Jeździ ,lekko przód ,",https://www.otomoto.pl/osobowe/oferta/opel-crossland-jezdzi-lekko-przod-ID6G18pO.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InNtcjk3dmt0dWJmaDMtT1RPTU9UT1BMIn0.HOr4Vvoyqn5JqOoY_l84pcosA7GCD1zp5pZvbEoTmQI/image;s=320x240
Opel Mokka 1.4 T Cosmo,56 900 zl,142 000 km,1 364 cm3 • 140 KM • Cosmo+Xenon+Led+Navi+Kamera+Półskóra+Serwis,https://www.otomoto.pl/osobowe/oferta/opel-mokka-cosmo-xenon-led-navi-kamera-polskora-serwis-ID6FYJ2Y.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im50NHowZ3ptYXVqOS1PVE9NT1RPUEwifQ.EqUGlV1khy4plie068l205PzV9yaCK_HaFjeLB5E4bw/image;s=320x240
Opel Corsa 1.2 GS Line Plus Pack S&S,56 800 zl,17 300 km,1 199 cm3 • 100 KM • GS 1.2 100KM LED AndroidAuto,https://www.otomoto.pl/osobowe/oferta/opel-corsa-gs-1-2-100km-led-androidauto-ID6FzxIg.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImwwZWgwemNnanIzeS1PVE9NT1RPUEwifQ.3bxkrZfDHbhRezADQF-8ZD9PI3a9WvHmOYjgtI1VHPM/image;s=320x240
Opel Corsa 1.5 Diesel Start/Stop Ultimate,54 860 zl,50 188 km,1 499 cm3 • 102 KM • 5 Drzwi bogate wyposażenie FULL LED Kamera NAVI Piękny Stan ZOBACZ!,https://www.otomoto.pl/osobowe/oferta/opel-corsa-5-drzwi-bogate-wyposazenie-full-led-kamera-navi-piekny-stan-zobacz-ID6G1QDj.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImJxeDdtZGJlanUwYTMtT1RPTU9UT1BMIn0.lTC-dP8rm6TUPbztFGSAqUyXKe8V0H-wUfec77HPFuQ/image;s=320x240
Opel Astra,54 500 zl,90 300 km,"1 399 cm3 • 125 KM • OPEL ASTRA, 125KM, turbo, podgrzewana kierownica, kamera cofania...",https://www.otomoto.pl/osobowe/oferta/opel-astra-opel-astra-125km-turbo-podgrzewana-kierownica-kamera-cofania-ID6FY0rj.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpxcGEzdzA4ZTM4NC1PVE9NT1RPUEwifQ.nmryaF_M_tgYqrvtEIuycEMTqv-0ucxjf-E5G-858GQ/image;s=320x240
OPEL Corsa 1.2 S&S,71 900 zl,8 km,1199 cm3,"https://otomotoklik.pl/oferta/VXKUPHMHDP4079202?product=lease&contractPeriod=72&utm_source=otomoto&utm_medium=native&utm_campaign=listing&utm_term=opel-corsa-1.2-s&s,opel,,,,,,,,,,,,,,,,&utm_campaign_id=2-16",https://cdn.otomotoklik.pl/static/VXKUPHMHDP4079202/vc/exterior-closed_nr_001_small.jpg
Opel Astra V 1.4 T Enjoy,53 136 zl,83 109 km,1 399 cm3 • 125 KM,https://www.otomoto.pl/osobowe/oferta/opel-astra-ID6G0h1z.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFzNDNjM3Y2Z25kczMtT1RPTU9UT1BMIn0.7Xd3mKB23JGILl01omXmVBU8-vS7vh2ecFSeb_XndUA/image;s=320x240
Opel Astra 1.4 Turbo Sports Tourer Business,52 904 zl,98 909 km,1 399 cm3 • 125 KM • Kamera-Navi-Oryginał lakier-Pełny serwis-Bezwypadkowa 98tys przebiegu,https://www.otomoto.pl/osobowe/oferta/opel-astra-kamera-navi-oryginal-lakier-pelny-serwis-bezwypadkowa-98tys-przebiegu-ID6FNQEs.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFveTNxaWpicGQzNy1PVE9NT1RPUEwifQ.8xesik_3S0hn1VPIzoUYn8DiDnW9IQoPlHcBPQK045E/image;s=320x240
Opel Corsa 1.2 Elegance S&S,52 900 zl,7 320 km,1 199 cm3 • 75 KM • Okazja Opel Corsa F Full Led,https://www.otomoto.pl/osobowe/oferta/opel-corsa-okazja-opel-corsa-f-full-led-ID6FNxjB.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpwamhybDNkdnA5eTEtT1RPTU9UT1BMIn0.lyF9EIOKgkLiOTVzaT3_gm8IX8SC4wuRSWFoOo3r2RQ/image;s=320x240
Opel Astra V 1.4 T Enjoy,52 850 zl,122 000 km,1 399 cm3 • 125 KM • 1.4T^125Ps#Salon Polska^100%ASO Opel#Pierwszy Włascicieł,https://www.otomoto.pl/osobowe/oferta/opel-astra-1-4t125ps-salon-polska100-aso-opel-pierwszy-wlasciciel-ID6G0NoA.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InN2b2RrbWZjb3RucDEtT1RPTU9UT1BMIn0.gM-XqDML_CB06kC3ZbkJMAuOg9VV4L20-RtBdOYdRGw/image;s=320x240
Opel Corsa 1.2 Elegance S&S,51 900 zl,44 000 km,"1 199 cm3 • 75 KM • Jak nowa, Serwisowana, śliczna",https://www.otomoto.pl/osobowe/oferta/opel-corsa-jak-nowa-serwisowana-sliczna-ID6G2hHg.html,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImV1ZHlqdXV2NzlnNy1PVE9NT1RPUEwifQ.BRO568DjKz1zVOytYfE3LWDNQfKo3oURJsb8J29wf74/image;s=320x240
